"日期","收市","開市","高","低","成交量","更改%"
"2018年11月13日","272.06","273.09","275.32","271.25","98.18M","-0.19%"
"2018年11月12日","272.57","277.19","277.46","271.99","99.67M","-1.87%"
"2018年11月9日","277.76","279.03","279.24","276.18","98.81M","-0.98%"
"2018年11月8日","280.50","280.11","281.22","279.22","65.58M","-0.18%"
"2018年11月7日","281.01","277.56","281.10","277.08","102.75M","2.14%"
"2018年11月6日","275.12","273.32","275.30","273.25","60.09M","0.63%"
"2018年11月5日","273.39","272.44","274.01","271.35","65.62M","0.55%"
"2018年11月2日","271.89","274.75","275.23","269.59","122.63M","-0.59%"
"2018年11月1日","273.51","271.60","273.73","270.38","99.50M","1.06%"
"2018年10月31日","270.63","270.65","273.23","270.12","128.30M","1.07%"
"2018年10月30日","267.77","263.67","268.12","263.12","157.12M","1.48%"
"2018年10月29日","263.86","268.80","270.25","259.85","160.75M","-0.55%"
"2018年10月26日","265.33","265.92","271.00","262.29","201.57M","-1.76%"
"2018年10月25日","270.08","267.38","271.81","266.23","138.06M","1.79%"
"2018年10月24日","265.32","273.33","273.76","264.70","177.81M","-3.03%"
"2018年10月23日","273.61","270.95","274.87","268.61","146.35M","-0.51%"
"2018年10月22日","275.01","277.00","277.36","274.41","82.42M","-0.45%"
"2018年10月19日","276.25","277.13","279.30","275.47","139.90M","-0.05%"
"2018年10月18日","276.40","279.40","280.07","274.97","134.56M","-1.44%"
"2018年10月17日","280.45","280.44","281.15","277.56","110.63M","0.02%"
"2018年10月16日","280.40","276.60","280.82","276.07","118.26M","2.19%"
"2018年10月15日","274.40","275.55","277.04","274.30","102.26M","-0.56%"
"2018年10月12日","275.95","276.77","277.09","272.37","183.19M","1.39%"
"2018年10月11日","272.17","277.08","278.90","270.36","274.84M","-2.20%"
"2018年10月10日","278.30","286.83","286.91","277.88","214.73M","-3.17%"
"2018年10月9日","287.40","287.39","288.86","286.77","74.34M","-0.15%"
"2018年10月8日","287.82","287.05","288.22","285.50","87.74M","0.00%"
"2018年10月5日","287.82","289.69","290.27","286.22","105.95M","-0.56%"
"2018年10月4日","289.44","291.18","291.24","287.66","111.55M","-0.78%"
"2018年10月3日","291.72","292.74","293.21","291.32","64.69M","0.05%"
"2018年10月2日","291.56","291.56","292.36","291.14","47.26M","-0.06%"
"2018年10月1日","291.73","292.11","292.93","290.98","62.08M","0.35%"
"2018年9月28日","290.72","289.99","291.28","289.95","70.09M","0.01%"
"2018年9月27日","290.69","290.41","291.91","290.10","59.25M","0.28%"
"2018年9月26日","289.88","290.91","292.24","289.41","79.74M","-0.30%"
"2018年9月25日","290.75","291.53","291.65","290.48","44.37M","-0.09%"
"2018年9月24日","291.02","291.34","291.50","290.37","53.41M","-0.33%"
"2018年9月21日","291.99","293.09","293.22","291.81","105.48M","-0.54%"
"2018年9月20日","293.58","292.64","293.94","291.24","100.36M","0.81%"
"2018年9月19日","291.22","290.97","291.69","290.82","49.08M","0.11%"
"2018年9月18日","290.91","289.58","291.58","289.55","61.93M","0.54%"
"2018年9月17日","289.34","290.82","290.86","289.03","68.24M","-0.53%"
"2018年9月14日","290.88","291.06","291.27","290.00","55.08M","0.02%"
"2018年9月13日","290.83","290.32","291.04","290.00","51.03M","0.59%"
"2018年9月12日","289.12","289.06","289.80","288.23","59.81M","0.02%"
"2018年9月11日","289.05","287.37","289.55","286.98","50.53M","0.33%"
"2018年9月10日","288.10","288.74","289.04","287.88","50.21M","0.17%"
"2018年9月7日","287.60","286.98","288.70","286.71","73.52M","-0.19%"
"2018年9月6日","288.16","289.15","289.49","287.00","65.91M","-0.30%"
"2018年9月5日","289.03","289.41","289.64","287.89","72.45M","-0.27%"
"2018年9月4日","289.81","289.84","290.21","288.68","57.59M","-0.17%"
"2018年8月31日","290.31","289.84","290.81","289.29","66.14M","0.00%"
"2018年8月30日","290.30","290.94","291.36","289.63","61.23M","-0.40%"
"2018年8月29日","291.48","290.16","291.74","289.89","61.49M","0.54%"
