,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
0,2020年1月6日,323.64,320.49,323.73,320.36,55.76,0.38,1578240000.0,323.64,324.63599999999997,327.69,327.1655,328.51346153846157,304.4115,2020-01-06
1,2020年1月7日,322.73,323.02,323.54,322.24,42.85,-0.28,1578326400.0,322.73,325.498,328.3633333333334,327.4365000000001,329.0434615384616,303.12,2020-01-07
2,2020年1月8日,324.45,322.94,325.78,322.67,68.43,0.53,1578412800.0,324.45,326.442,328.8666666666667,327.943,329.59461538461534,301.9383333333334,2020-01-08
3,2020年1月9日,326.65,326.16,326.73,325.52,48.57,0.68,1578499200.0,326.65,327.19,328.7875,328.41949999999997,330.10038461538466,300.6673333333334,2020-01-09
4,2020年1月10日,325.71,327.29,327.46,325.2,53.06,-0.29,1578585600.0,325.71,328.044,328.80749999999995,328.697,330.48807692307696,299.63750000000005,2020-01-10
5,2020年1月13日,327.95,326.39,327.96,325.92,47.26,0.69,1578844800.0,327.95,329.29200000000003,328.88333333333327,329.14549999999997,330.9738461538461,298.62783333333334,2020-01-13
6,2020年1月14日,327.45,327.47,328.62,326.84,63.04,-0.15,1578931200.0,327.45,329.962,328.86083333333335,329.511,331.32000000000005,297.7291666666667,2020-01-14
7,2020年1月15日,328.19,327.35,329.02,327.26,72.06,0.23,1579017600.0,328.19,330.73999999999995,328.38416666666666,330.0095,331.5519230769231,296.90833333333336,2020-01-15
8,2020年1月16日,330.92,329.7,330.92,329.45,54.05,0.83,1579104000.0,330.92,331.446,328.045,330.45300000000003,331.33,296.0328333333334,2020-01-16
9,2020年1月17日,331.95,331.7,332.18,330.85,95.85,0.31,1579190400.0,331.95,331.01599999999996,327.89,330.78700000000003,330.6273076923077,295.24733333333336,2020-01-17
10,2020年1月21日,331.3,330.9,332.18,330.82,77.74,-0.2,1579536000.0,331.3,329.326,327.96583333333336,331.026,329.84076923076924,294.34416666666664,2020-01-21
11,2020年1月22日,331.34,332.24,332.95,331.17,48.91,0.01,1579622400.0,331.34,328.44399999999996,328.18916666666667,331.37800000000004,328.5411538461539,293.47416666666663,2020-01-22
12,2020年1月23日,331.72,330.63,332.17,329.41,51.96,0.11,1579708800.0,331.72,327.5,328.2608333333333,331.65849999999995,327.19192307692305,292.72916666666663,2020-01-23
13,2020年1月24日,328.77,332.44,332.53,327.36,87.58,-0.89,1579795200.0,328.77,326.692,328.5075,331.7465,326.32153846153847,291.8936666666666,2020-01-24
14,2020年1月27日,323.5,323.03,325.12,322.66,84.06,-1.6,1580054400.0,323.5,325.284,329.04833333333335,331.429,325.22423076923076,290.96483333333333,2020-01-27
