"日期","收市","開市","高","低","成交量","更改%"
"2020年10月20日","343.38","343.46","346.88","342.64","59.39M","0.40%"
"2020年10月19日","342.01","348.65","349.33","341.04","67.26M","-1.52%"
"2020年10月16日","347.29","348.96","350.75","347.10","89.50M","-0.06%"
"2020年10月15日","347.50","343.54","348.01","343.54","60.36M","-0.12%"
"2020年10月14日","347.93","350.72","351.91","347.16","57.96M","-0.63%"
"2020年10月13日","350.13","352.34","352.34","349.10","73.26M","-0.65%"
"2020年10月12日","352.43","349.53","354.01","349.08","80.39M","1.61%"
"2020年10月11日","346.85","346.85","346.85","346.85","-","0.00%"
"2020年10月9日","346.85","345.56","347.35","344.89","59.53M","0.89%"
"2020年10月8日","343.78","342.84","343.84","341.89","45.24M","0.89%"
"2020年10月7日","340.76","338.11","341.60","338.11","57.00M","1.74%"
"2020年10月6日","334.93","339.91","342.17","334.38","90.13M","-1.42%"
"2020年10月5日","339.76","336.27","339.94","336.17","45.71M","1.77%"
"2020年10月4日","333.84","333.84","333.84","333.84","-","0.00%"
"2020年10月3日","333.84","333.84","333.84","333.84","-","0.00%"
"2020年10月2日","333.84","331.25","335.90","331.20","89.43M","-0.95%"
"2020年10月1日","337.04","337.63","338.68","335.05","88.70M","0.64%"
"2020年9月30日","334.89","333.20","338.28","332.90","104.08M","0.76%"
"2020年9月29日","332.37","333.87","334.73","331.63","51.53M","-0.54%"
"2020年9月28日","334.19","333.38","334.89","332.17","64.58M","1.66%"
"2020年9月27日","328.73","328.73","328.73","328.73","-","0.00%"
"2020年9月26日","328.73","328.73","328.73","328.73","-","0.00%"
"2020年9月25日","328.73","322.63","329.56","321.68","71.07M","1.62%"
"2020年9月24日","323.50","321.08","326.75","319.82","76.68M","0.27%"
"2020年9月23日","322.64","330.86","331.16","322.10","93.11M","-2.32%"
"2020年9月22日","330.30","328.45","330.89","325.90","63.61M","1.02%"
"2020年9月21日","326.97","325.61","326.98","321.73","99.45M","-1.11%"
"2020年9月18日","330.65","335.37","335.49","327.97","105.88M","-1.55%"
"2020年9月17日","335.84","333.55","337.66","333.01","91.52M","-0.88%"
"2020年9月16日","338.82","341.66","343.03","338.59","82.21M","-0.40%"
"2020年9月15日","340.17","341.26","342.00","339.02","52.92M","0.51%"
"2020年9月14日","338.46","337.55","340.36","336.95","65.61M","1.32%"
"2020年9月13日","334.06","334.06","334.06","334.06","-","0.00%"
"2020年9月11日","334.06","335.82","336.97","331.00","84.68M","0.05%"
"2020年9月10日","333.89","341.74","342.51","332.92","90.57M","-1.74%"
"2020年9月9日","339.79","337.62","342.45","336.66","91.46M","1.97%"
"2020年9月8日","333.21","336.12","337.98","332.88","114.47M","-2.73%"
"2020年9月4日","342.57","346.13","347.83","334.87","139.16M","-0.82%"
"2020年9月3日","345.39","355.87","356.35","342.62","148.01M","-3.44%"
"2020年9月2日","357.70","354.51","358.66","353.45","69.54M","1.45%"
"2020年9月1日","352.60","350.22","352.64","349.26","55.00M","0.94%"
"2020年8月31日","349.31","350.29","351.26","349.11","66.10M","-0.36%"
"2020年8月30日","350.58","350.58","350.58","350.58","-","0.00%"
"2020年8月28日","350.58","349.44","350.72","348.15","48.59M","0.65%"
"2020年8月27日","348.33","348.36","349.89","346.54","58.03M","0.22%"
"2020年8月26日","347.57","344.73","347.85","344.17","50.79M","1.00%"
"2020年8月25日","344.12","343.53","344.14","342.27","38.46M","0.35%"
"2020年8月24日","342.92","342.12","342.96","341.10","48.59M","1.01%"
"2020年8月23日","339.48","339.48","339.48","339.48","-","0.00%"
"2020年8月22日","339.48","339.48","339.48","339.48","-","0.00%"
"2020年8月21日","339.48","337.99","339.67","337.57","55.11M","0.35%"
"2020年8月20日","338.28","335.38","338.77","335.25","42.21M","0.31%"
"2020年8月19日","337.23","339.07","339.60","336.64","68.05M","-0.42%"
"2020年8月18日","338.64","338.36","339.09","336.64","38.73M","0.22%"
"2020年8月17日","337.91","337.92","338.34","337.50","35.48M","0.32%"
"2020年8月14日","336.84","336.41","337.42","335.62","47.26M","0.00%"
"2020年8月13日","336.83","337.02","338.25","335.85","41.82M","-0.18%"
"2020年8月12日","337.44","335.56","338.28","335.56","53.83M","1.39%"
"2020年8月11日","332.80","336.95","337.52","332.05","69.60M","-0.83%"
"2020年8月10日","335.57","335.05","335.76","332.98","44.28M","0.30%"
"2020年8月9日","334.57","334.57","334.57","334.57","-","0.00%"
"2020年8月8日","334.57","334.57","334.57","334.57","-","0.00%"
"2020年8月7日","334.57","333.28","334.68","332.30","57.31M","0.07%"
"2020年8月6日","334.33","331.47","334.46","331.15","43.68M","0.67%"
"2020年8月5日","332.11","331.47","332.39","331.19","42.87M","0.62%"
"2020年8月4日","330.06","328.06","330.06","327.96","41.92M","0.39%"
"2020年8月3日","328.79","328.36","329.61","327.74","53.08M","0.70%"
"2020年8月2日","326.52","326.52","326.52","326.52","-","0.00%"
"2020年7月31日","326.52","325.90","326.63","321.33","85.21M","0.79%"
"2020年7月30日","323.96","321.80","324.40","319.69","61.86M","-0.36%"
"2020年7月29日","325.12","322.12","325.73","322.08","48.45M","1.23%"
"2020年7月28日","321.17","323.22","323.64","320.87","57.49M","-0.63%"
"2020年7月27日","323.22","321.45","323.39","320.80","48.29M","0.73%"
"2020年7月26日","320.88","320.88","320.88","320.88","-","0.00%"
"2020年7月25日","320.88","320.88","320.88","320.88","-","0.00%"
"2020年7月24日","320.88","320.73","321.99","319.28","73.77M","-0.64%"
"2020年7月23日","322.96","326.42","327.22","321.52","75.74M","-1.19%"
"2020年7月22日","326.86","325.01","327.12","324.55","57.79M","0.57%"
"2020年7月21日","325.01","326.32","326.91","323.97","57.50M","0.21%"
"2020年7月20日","324.32","321.36","325.00","320.81","56.31M","0.81%"
"2020年7月17日","321.72","321.88","322.57","319.73","62.78M","0.29%"
"2020年7月16日","320.79","319.75","321.26","319.09","54.62M","-0.33%"
"2020年7月15日","321.85","322.61","323.01","319.29","87.20M","0.92%"
"2020年7月14日","318.92","313.29","319.28","312.05","93.66M","1.30%"
"2020年7月13日","314.84","320.24","322.69","314.19","103.00M","-0.87%"
"2020年7月12日","317.59","317.59","317.59","317.59","-","0.00%"
"2020年7月11日","317.59","317.59","317.59","317.59","-","0.00%"
"2020年7月10日","317.59","314.40","317.85","312.81","57.55M","1.02%"
"2020年7月9日","314.38","316.87","317.09","310.73","83.35M","-0.57%"
"2020年7月8日","316.18","314.62","316.27","312.70","54.64M","0.76%"
"2020年7月7日","313.78","315.38","317.52","313.37","82.91M","-1.03%"
"2020年7月6日","317.05","316.40","317.24","315.59","61.71M","1.54%"
"2020年7月5日","312.23","312.23","312.23","312.23","-","0.00%"
"2020年7月4日","312.23","312.23","312.23","312.23","-","0.00%"
"2020年7月2日","312.23","314.29","315.59","311.53","69.34M","0.55%"
"2020年7月1日","310.52","309.53","311.86","309.10","72.40M","0.70%"
"2020年6月30日","308.36","303.95","310.16","303.85","113.39M","1.28%"
"2020年6月29日","304.46","301.41","304.46","299.04","79.77M","1.47%"
"2020年6月26日","300.05","306.16","306.39","299.42","127.96M","-2.38%"
"2020年6月25日","307.35","303.28","307.61","301.34","89.47M","1.07%"
"2020年6月24日","304.09","309.78","310.48","302.13","132.81M","-2.55%"
"2020年6月23日","312.05","313.42","314.46","311.62","68.47M","0.46%"
"2020年6月22日","310.62","307.95","311.04","306.81","74.65M","0.64%"
"2020年6月19日","308.64","314.17","314.38","306.53","135.55M","-1.01%"
"2020年6月18日","311.78","309.93","312.27","309.61","80.83M","0.04%"
"2020年6月17日","311.66","314.04","314.37","311.04","83.40M","-0.42%"
"2020年6月16日","312.96","315.34","315.61","307.93","137.63M","1.92%"
"2020年6月15日","307.05","298.03","308.23","296.77","135.78M","0.93%"
"2020年6月12日","304.21","308.24","309.08","298.60","194.68M","1.20%"
"2020年6月11日","300.61","310.95","312.03","300.04","209.24M","-5.76%"
"2020年6月10日","319.00","321.53","322.38","318.25","95.00M","-0.56%"
"2020年6月9日","320.79","320.30","322.36","319.38","77.48M","-0.75%"
"2020年6月8日","323.20","320.22","323.27","319.63","73.64M","1.21%"
"2020年6月7日","319.34","319.34","319.34","319.34","-","0.00%"
"2020年6月5日","319.34","317.23","321.27","317.16","150.52M","2.56%"
"2020年6月4日","311.36","311.06","313.00","309.10","75.79M","-0.26%"
"2020年6月3日","312.18","310.33","313.16","309.96","92.57M","1.33%"
"2020年6月2日","308.08","306.54","308.10","305.14","74.27M","0.83%"
"2020年6月1日","305.55","303.60","306.20","303.07","56.78M","0.40%"
"2020年5月29日","304.32","302.46","304.96","299.47","119.27M","0.45%"
"2020年5月28日","302.97","304.76","306.80","302.29","90.77M","-0.18%"
"2020年5月27日","303.53","302.08","303.53","296.90","104.82M","1.49%"
"2020年5月26日","299.08","302.18","302.18","298.73","88.95M","1.23%"
"2020年5月22日","295.44","294.57","295.63","293.22","63.96M","0.19%"
"2020年5月21日","294.88","296.71","297.67","293.70","78.29M","-0.69%"
"2020年5月20日","296.93","295.86","297.86","295.59","85.86M","1.70%"
"2020年5月19日","291.97","294.32","296.19","291.97","95.19M","-1.03%"
"2020年5月18日","295.00","292.87","296.60","292.75","120.32M","3.05%"
"2020年5月15日","286.28","282.38","286.28","281.38","111.15M","0.46%"
"2020年5月14日","284.97","278.79","285.03","276.39","121.98M","1.20%"
"2020年5月13日","281.60","286.02","287.17","279.00","144.72M","-1.77%"
"2020年5月12日","286.67","293.79","294.24","286.52","95.87M","-1.99%"
"2020年5月11日","292.50","290.34","294.00","289.88","79.51M","0.02%"
"2020年5月8日","292.44","291.09","292.95","289.86","76.62M","1.65%"
"2020年5月7日","287.68","287.75","289.78","287.13","75.25M","1.21%"
"2020年5月6日","284.25","288.04","288.46","283.78","73.63M","-0.68%"
"2020年5月5日","286.19","286.64","289.25","283.71","79.57M","0.92%"
"2020年5月4日","283.57","280.74","283.90","279.13","80.87M","0.28%"
"2020年5月3日","282.79","282.79","282.79","282.79","-","0.00%"
"2020年5月2日","282.79","282.79","282.79","282.79","-","0.00%"
"2020年5月1日","282.79","285.31","290.66","281.52","125.18M","-2.65%"
"2020年4月30日","290.48","291.71","293.32","288.59","122.90M","-0.93%"
"2020年4月29日","293.21","291.53","294.88","290.41","118.75M","2.62%"
"2020年4月28日","285.73","291.02","291.40","285.40","105.27M","-0.46%"
"2020年4月27日","287.05","285.12","288.27","284.62","77.90M","1.44%"
"2020年4月24日","282.97","280.73","283.70","278.50","85.17M","1.39%"
"2020年4月23日","279.08","280.49","283.94","278.75","104.71M","-0.01%"
"2020年4月22日","279.10","278.35","281.00","276.91","93.53M","2.22%"
"2020年4月21日","273.04","276.73","278.04","272.02","126.39M","-3.04%"
"2020年4月20日","281.59","282.61","286.79","281.35","100.11M","-1.76%"
"2020年4月17日","286.64","285.38","287.30","282.40","146.68M","2.70%"
"2020年4月16日","279.10","279.15","280.03","275.76","131.80M","0.48%"
"2020年4月15日","277.76","277.57","283.94","275.46","121.78M","-2.12%"
"2020年4月14日","283.79","280.98","284.90","275.51","134.14M","2.95%"
"2020年4月13日","275.66","277.14","277.51","271.41","114.84M","-0.91%"
"2020年4月9日","278.20","277.58","281.20","275.47","190.28M","1.52%"
"2020年4月8日","274.03","267.96","276.00","265.25","153.77M","3.36%"
"2020年4月7日","265.13","274.21","275.03","264.89","201.43M","0.10%"
"2020年4月6日","264.86","257.84","267.00","248.17","188.06M","6.72%"
"2020年4月3日","248.19","250.76","253.32","245.22","135.56M","-1.45%"
"2020年4月2日","251.83","245.19","252.68","244.59","177.66M","2.31%"
"2020年4月1日","246.15","247.98","257.66","243.90","189.56M","-4.50%"
"2020年3月31日","257.75","260.56","263.33","256.22","194.88M","-1.49%"
"2020年3月30日","261.65","255.70","262.43","253.53","170.96M","3.25%"
"2020年3月28日","253.42","253.42","253.42","253.42","-","0.00%"
"2020年3月27日","253.42","253.27","260.81","251.05","220.44M","-2.98%"
"2020年3月26日","261.20","249.52","262.80","249.05","254.58M","5.84%"
"2020年3月25日","246.79","244.87","256.35","239.75","296.79M","1.50%"
"2020年3月24日","243.15","234.42","244.10","233.80","230.26M","9.06%"
"2020年3月23日","222.95","228.19","229.68","218.26","316.41M","-2.56%"
"2020年3月21日","228.80","228.80","228.80","228.80","-","0.00%"
"2020年3月20日","228.80","242.53","244.47","228.50","335.78M","-4.87%"
"2020年3月19日","240.51","239.25","247.38","232.22","281.41M","0.21%"
"2020年3月18日","240.00","236.25","248.37","228.02","322.58M","-5.06%"
"2020年3月17日","252.80","245.04","256.17","237.07","262.07M","5.40%"
"2020年3月16日","239.85","241.18","256.90","237.36","297.24M","-10.94%"
"2020年3月14日","269.32","269.32","269.32","269.32","-","0.00%"
"2020年3月13日","269.32","263.09","271.48","248.52","329.57M","8.55%"
"2020年3月12日","248.11","256.00","266.66","247.68","392.22M","-9.57%"
"2020年3月11日","274.36","280.70","281.94","270.88","256.42M","-4.87%"
"2020年3月10日","288.42","284.64","288.52","273.50","276.44M","5.17%"
"2020年3月9日","274.23","275.30","284.19","273.45","309.42M","-7.81%"
"2020年3月6日","297.46","293.15","298.78","290.23","228.67M","-1.65%"
"2020年3月5日","302.46","304.98","308.47","300.01","186.37M","-3.32%"
"2020年3月4日","312.86","306.12","313.10","303.33","176.61M","4.20%"
"2020年3月3日","300.24","309.50","313.84","297.57","300.14M","-2.86%"
"2020年3月2日","309.09","298.21","309.16","294.46","238.70M","4.33%"
"2020年2月28日","296.26","288.70","297.89","285.54","385.76M","-0.42%"
"2020年2月27日","297.51","305.46","311.56","297.51","284.35M","-4.49%"
"2020年2月26日","311.50","314.18","318.11","310.70","194.77M","-0.37%"
"2020年2月25日","312.65","323.94","324.61","311.69","218.91M","-3.03%"
"2020年2月24日","322.42","323.14","333.56","321.24","161.09M","-3.32%"
"2020年2月21日","333.48","335.47","335.81","332.58","113.79M","-1.03%"
"2020年2月20日","336.95","337.74","338.64","333.68","74.16M","-0.41%"
"2020年2月19日","338.34","337.79","339.08","337.48","48.82M","0.48%"
"2020年2月18日","336.73","336.51","337.67","335.21","57.34M","-0.26%"
"2020年2月17日","337.60","337.60","337.60","337.60","-","0.00%"
"2020年2月14日","337.60","337.51","337.73","336.20","64.58M","0.16%"
"2020年2月13日","337.06","335.86","338.12","335.56","54.50M","-0.11%"
"2020年2月12日","337.42","336.83","337.65","336.43","43.99M","0.64%"
"2020年2月11日","335.26","336.16","337.02","334.68","54.86M","0.17%"
"2020年2月10日","334.68","331.23","334.75","331.19","42.07M","0.75%"
"2020年2月7日","332.20","332.82","333.99","331.60","64.14M","-0.53%"
"2020年2月6日","333.98","333.91","334.19","332.80","50.36M","0.34%"
"2020年2月5日","332.86","332.27","333.09","330.67","65.95M","1.15%"
"2020年2月4日","329.06","328.07","330.01","327.72","62.57M","1.52%"
"2020年2月3日","324.12","323.35","326.16","323.22","69.24M","0.74%"
"2020年1月31日","321.73","327.00","327.17","320.73","113.85M","-1.82%"
"2020年1月30日","327.68","324.36","327.91","323.54","75.49M","0.32%"
"2020年1月29日","326.62","328.38","328.63","326.40","54.04M","-0.08%"
"2020年1月28日","326.89","325.06","327.85","323.60","63.83M","1.05%"
"2020年1月27日","323.50","323.03","325.12","322.66","84.06M","-1.60%"
"2020年1月24日","328.77","332.44","332.53","327.36","87.58M","-0.89%"
"2020年1月23日","331.72","330.63","332.17","329.41","51.96M","0.11%"
"2020年1月22日","331.34","332.24","332.95","331.17","48.91M","0.01%"
"2020年1月21日","331.30","330.90","332.18","330.82","77.74M","-0.20%"
