"日期","收市","開市","高","低","成交量","更改%"
"2020年10月20日","343.38","343.46","346.88","342.64","59.39M","0.40%"
"2020年10月19日","342.01","348.65","349.33","341.04","67.26M","-1.52%"
"2020年10月16日","347.29","348.96","350.75","347.10","89.50M","-0.06%"
"2020年10月15日","347.50","343.54","348.01","343.54","60.36M","-0.12%"
"2020年10月14日","347.93","350.72","351.91","347.16","57.96M","-0.63%"
"2020年10月13日","350.13","352.34","352.34","349.10","73.26M","-0.65%"
"2020年10月12日","352.43","349.53","354.01","349.08","80.39M","1.61%"
"2020年10月11日","346.85","346.85","346.85","346.85","-","0.00%"
"2020年10月9日","346.85","345.56","347.35","344.89","59.53M","0.89%"
"2020年10月8日","343.78","342.84","343.84","341.89","45.24M","0.89%"
"2020年10月7日","340.76","338.11","341.60","338.11","57.00M","1.74%"
"2020年10月6日","334.93","339.91","342.17","334.38","90.13M","-1.42%"
"2020年10月5日","339.76","336.27","339.94","336.17","45.71M","1.77%"
"2020年10月4日","333.84","333.84","333.84","333.84","-","0.00%"
"2020年10月3日","333.84","333.84","333.84","333.84","-","0.00%"
"2020年10月2日","333.84","331.25","335.90","331.20","89.43M","-0.95%"
"2020年10月1日","337.04","337.63","338.68","335.05","88.70M","0.64%"
"2020年9月30日","334.89","333.20","338.28","332.90","104.08M","0.76%"
"2020年9月29日","332.37","333.87","334.73","331.63","51.53M","-0.54%"
"2020年9月28日","334.19","333.38","334.89","332.17","64.58M","1.66%"
"2020年9月27日","328.73","328.73","328.73","328.73","-","0.00%"
"2020年9月26日","328.73","328.73","328.73","328.73","-","0.00%"
"2020年9月25日","328.73","322.63","329.56","321.68","71.07M","1.62%"
"2020年9月24日","323.50","321.08","326.75","319.82","76.68M","0.27%"
"2020年9月23日","322.64","330.86","331.16","322.10","93.11M","-2.32%"
"2020年9月22日","330.30","328.45","330.89","325.90","63.61M","1.02%"
"2020年9月21日","326.97","325.61","326.98","321.73","99.45M","-1.11%"
